掃 TẢO
准 CHUẨN
抽 TRỪU
披 PHI
狂 CUỒNG
癒 DŨ
淡 ĐẠM
訂 ĐÍNH
緯 VĨ
佳 GIAI
帳 TRƯỚNG
苗 MIÊU
据 CƯ
暖 NOÃN
漢 HÁN
径 KÍNH
磁 TỪ
缶 PHỮU
猛 MÃNH
咲 TIẾU
粒 LẠP
肺 PHẾ
虐 NGƯỢC
才 TÀI
卸 TÁ
匹 THẤT
布 BỐ
逸 DẬT
軌 QUỸ
鑑 GIÁM
荘 TRANG
懐 HOÀI
汁 TRẤP
后 HẬU
烈 LIỆT
嘆 THÁN
胆 ĐẢM
氷 BĂNG
棋 KÌ
麦 MẠCH
筒 ĐỒNG
灯 ĐĂNG
妃 PHI
徐 TỪ
衰 SUY
乾 CAN
雷 LÔI
惨 THẢM
郭 QUÁCH
粧 TRANG
塗 ĐỒ
詞 TỪ
祈 KÌ
奮 PHẤN
斜 TÀ
霧 VỤ
潤 NHUẬN
俗 TỤC
脂 CHI
栽 TÀI
穏 ỔN
墨 MẶC
姓 TÍNH
冠 QUÁN
晶 TINH
亭 ĐÌNH
刈 NGẢI
銅 ĐỒNG
駄 ĐÀ
棚 BẰNG
幻 HUYỄN
巣 SÀO
拝 BÁI
酬 THÙ
排 BÀI
巧 XẢO
魔 MA
粛 TÚC
邪 TÀ
奉 PHỤNG
悦 DUYỆT
擦 SÁT
漂 PHIÊU
鈍 ĐỘN
滝 LANG
潔 KHIẾT
涯 NHAI
廊 LANG
疫 DỊCH
乏 PHẠP
矛 MÂU
妊 NHÂM
桑 TANG
嫁 GIÁ
膜 MẠC
綿 MIÊN
班 BAN
恥 SỈ
謙 KHIÊM
劣 LIỆT
凶 HUNG
釣 ĐIẾU
疎 SƠ
拾 THẬP
獄 NGỤC
紋 VĂN
紫 TỬ
皿 MÃNH
芽 NHA
陵 LĂNG
蒸 CHƯNG
顕 HIỂN
峰 PHONG
紡 PHƯỞNG
宜 NGHI
汗 HÃN
勘 KHÁM
辛 TÂN
弓 CUNG
溝 CÂU
仰 NGƯỠNG
泥 NÊ
姫 CƠ
稚 TRĨ
陶 ĐÀO
穫 HOẠCH
鎮 TRẤN
酔 TÚY
粗 THÔ
隻 CHIẾC
偶 NGẪU
貝 BỐI
誓 THỆ
盆 BỒN
弦 HUYỀN
悼 ĐIỆU
伯 BÁ
肌 CƠ
惜 TÍCH
珠 CHÂU
碑 BI
把 BẢ
舟 CHU
架 GIÁ
菓 QUẢ
朴 PHÁC
艇 ĐĨNH
憂 ƯU
刀 ĐAO
壮 TRÁNG
壌 NHƯỠNG
堤 ĐÊ
拐 QUẢI
累 LŨY
暑 THỬ
署 THỰ
澄 TRỪNG
符 PHÙ
府 PHỦ
謡 DAO
肢 CHI
尿 NIỆU
酷 KHỐC
鉛 DUYÊN
忍 NHẪN
臭 XÚ
錯 THÁC
寂 TỊCH
狩 THÚ
猫 MIÊU
恭 CUNG
隅 NGUNG
魂 HỒN
唐 ĐƯỜNG
怪 QUÁI
砕 TOÁI
虜 LỖ
垂 THÙY
頻 TẦN
灰 HÔI
鼻 TỊ
傍 BÀNG
践 TIỄN
呉 NGÔ
洞 ĐỘNG
諾 NẶC
俸 BỔNG
履 LÍ
坊 PHƯỜNG
穀 CỐC
呈 TRÌNH
髄 TỦY
庶 THỨ
遭 TAO
匠 TƯỢNG
膚 PHU
飢 CƠ
寸 THỐN
寧 NINH
炊 XUY
閲 DUYỆT
寮 LIÊU
赦 XÁ
赴 PHÓ
麗 LỆ
宰 TỂ
殴 ẨU
怠 ĐÃI
偉 VĨ
羅 LA
胃 VỊ
鉢 BÁT
該 CAI
机 CƠ
墳 PHẦN
峡 HẠP
宴 YẾN
窮 CÙNG
憾 HÁM
靴 NGOA
傘 TẢN
塔 THÁP
凡 PHÀM
弊 TỆ
漠 MẠC
騎 KỊ
循 TUẦN
召 TRIỆU
如 NHƯ
裸 LÕA
愚 NGU
朱 CHU
旋 TOÀN
縫 PHÙNG
鶏 KÊ
僧 TĂNG
搬 BAN
獣 THÚ
詐 TRÁ
吐 THỔ
窒 TRẤT
幣 TỆ
慈 TỪ
縛 PHƯỢC
欺 KHI
帽 MẠO
腸 TRÀNG
濯 TRẠC
薫 HUÂN
粋 TÚY
哀 AI
搭 ĐÁP
漬 TÍ
畳 ĐIỆP
娠 THẦN
沸 PHÍ
媒 MÔI
殻 XÁC
暦 LỊCH
枯 KHÔ
蓄 SÚC
畜 SÚC
辱 NHỤC
戯 HÍ
刃 NHẬN
